ticker_code;date;close
US5949181045;2002-04-18;63.3
US5949181045;2002-04-19;64.3
US5949181045;2002-04-22;62.3
US5949181045;2002-04-23;60.6
US5949181045;2002-04-24;60.8
US5949181045;2002-04-25;59.5
US5949181045;2002-04-26;59
US5949181045;2002-04-29;58.2
US5949181045;2002-04-30;58.5
US5949181045;2002-05-02;57.7
US5949181045;2002-05-03;54.8
US5949181045;2002-05-06;55
US5949181045;2002-05-07;54.9
US5949181045;2002-05-08;58.75
US5949181045;2002-05-09;58.6
US5949181045;2002-05-10;55.6
US5949181045;2002-05-13;57
US5949181045;2002-05-14;60.1
US5949181045;2002-05-15;60.4
US5949181045;2002-05-16;61.2
US5949181045;2002-05-17;60.5
US5949181045;2002-05-20;58.4
US5949181045;2002-05-21;56.9
US5949181045;2002-05-22;56.5
US5949181045;2002-05-23;57.5
US5949181045;2002-05-24;58.3
US5949181045;2002-05-27;57.75
US5949181045;2002-05-28;55.8
US5949181045;2002-05-29;56.1
US5949181045;2002-05-30;55.3
US5949181045;2002-05-31;56.6
US5949181045;2002-06-03;53.8
US5949181045;2002-06-04;52.7
US5949181045;2002-06-05;53.6
US5949181045;2002-06-06;54.5
US5949181045;2002-06-07;54
US5949181045;2002-06-10;56
US5949181045;2002-06-11;56.9
US5949181045;2002-06-12;57
US5949181045;2002-06-13;58.1
US5949181045;2002-06-14;57.8
US5949181045;2002-06-17;59.5
US5949181045;2002-06-18;59
US5949181045;2002-06-19;57.8
US5949181045;2002-06-20;57
US5949181045;2002-06-21;54.5
US5949181045;2002-06-24;53
US5949181045;2002-06-25;55.5
US5949181045;2002-06-26;53.2
US5949181045;2002-06-27;54
US5949181045;2002-06-28;56.3
US5949181045;2002-07-01;54.2
US5949181045;2002-07-02;52.9
US5949181045;2002-07-03;52
US5949181045;2002-07-04;52.9
US5949181045;2002-07-05;55.6
US5949181045;2002-07-08;54.3
US5949181045;2002-07-09;54.6
US5949181045;2002-07-10;54.15
US5949181045;2002-07-11;53
US5949181045;2002-07-12;52.8
US5949181045;2002-07-15;50.11
US5949181045;2002-07-16;51.4
US5949181045;2002-07-17;51
US5949181045;2002-07-18;52.2
US5949181045;2002-07-19;49.4
US5949181045;2002-07-22;46.4
US5949181045;2002-07-23;45.1
US5949181045;2002-07-24;43.5
US5949181045;2002-07-25;43
US5949181045;2002-07-26;45.3
US5949181045;2002-07-29;48.15
US5949181045;2002-07-30;48.6
US5949181045;2002-07-31;48.2
US5949181045;2002-08-01;47.3
US5949181045;2002-08-02;44.7
US5949181045;2002-08-05;45
US5949181045;2002-08-06;48
US5949181045;2002-08-07;47.35
US5949181045;2002-08-08;49.6
US5949181045;2002-08-09;49.5
US5949181045;2002-08-12;49.5
US5949181045;2002-08-13;50.3
US5949181045;2002-08-14;49.15
US5949181045;2002-08-15;50.8
US5949181045;2002-08-16;50.9
US5949181045;2002-08-19;52.9
US5949181045;2002-08-20;52.3
US5949181045;2002-08-21;53
US5949181045;2002-08-22;54.7
US5949181045;2002-08-23;53.9
US5949181045;2002-08-26;53.3
US5949181045;2002-08-27;52.6
US5949181045;2002-08-28;50.8
US5949181045;2002-08-29;51
US5949181045;2002-08-30;51.2
US5949181045;2002-09-02;49.75
US5949181045;2002-09-03;48
US5949181045;2002-09-04;47.3
US5949181045;2002-09-05;47.3
US5949181045;2002-09-06;48.6
US5949181045;2002-09-09;48
US5949181045;2002-09-10;50.6
US5949181045;2002-09-11;52
US5949181045;2002-09-12;48.5
US5949181045;2002-09-13;48.6
US5949181045;2002-09-16;48.6
US5949181045;2002-09-17;49.4
US5949181045;2002-09-18;48.2
US5949181045;2002-09-19;47.7
US5949181045;2002-09-20;48.7
US5949181045;2002-09-23;46.3
US5949181045;2002-09-24;45.9
US5949181045;2002-09-25;46.6
US5949181045;2002-09-26;47
US5949181045;2002-09-27;47.8
US5949181045;2002-09-30;44
US5949181045;2002-10-01;44.6
US5949181045;2002-10-02;47.5
US5949181045;2002-10-03;45.6
US5949181045;2002-10-04;45.4
US5949181045;2002-10-07;45.5
US5949181045;2002-10-08;45.85
US5949181045;2002-10-09;45
US5949181045;2002-10-10;45.6
US5949181045;2002-10-11;48.5
US5949181045;2002-10-14;49.6
US5949181045;2002-10-15;52.8
US5949181045;2002-10-16;51.6
US5949181045;2002-10-17;53
US5949181045;2002-10-18;53.9
US5949181045;2002-10-21;53.9
US5949181045;2002-10-22;52.6
US5949181045;2002-10-23;52.65
US5949181045;2002-10-24;53.6
US5949181045;2002-10-25;53.8
US5949181045;2002-10-28;53.2
US5949181045;2002-10-29;52
US5949181045;2002-10-30;53.7
US5949181045;2002-10-31;54
US5949181045;2002-11-01;52.8
US5949181045;2002-11-04;57.3
US5949181045;2002-11-05;56
US5949181045;2002-11-06;56.2
US5949181045;2002-11-07;55.4
US5949181045;2002-11-08;54.8
US5949181045;2002-11-11;53.5
US5949181045;2002-11-12;54.4
US5949181045;2002-11-13;55.5
US5949181045;2002-11-14;56.4
US5949181045;2002-11-15;55.2
US5949181045;2002-11-18;56.2
US5949181045;2002-11-19;55
US5949181045;2002-11-20;56.3
US5949181045;2002-11-21;57.7
US5949181045;2002-11-22;57.7
US5949181045;2002-11-25;58.25
US5949181045;2002-11-26;58.2
US5949181045;2002-11-27;59
US5949181045;2002-11-28;59.05
US5949181045;2002-11-29;58.05
US5949181045;2002-12-02;58.7
US5949181045;2002-12-03;57.15
US5949181045;2002-12-04;56.1
US5949181045;2002-12-05;55.65
US5949181045;2002-12-06;54.8
US5949181045;2002-12-09;53.8
US5949181045;2002-12-10;53.75
US5949181045;2002-12-11;54.2
US5949181045;2002-12-12;53
US5949181045;2002-12-13;52
US5949181045;2002-12-16;52.6
US5949181045;2002-12-17;53
US5949181045;2002-12-18;51.8
US5949181045;2002-12-19;52.05
US5949181045;2002-12-20;52.1
US5949181045;2002-12-23;52.7
US5949181045;2002-12-27;51.35
US5949181045;2002-12-30;50.8
US5949181045;2003-01-02;51.2
US5949181045;2003-01-03;51
US5949181045;2003-01-06;52.3
US5949181045;2003-01-07;53.2
US5949181045;2003-01-08;51.9
US5949181045;2003-01-09;53
US5949181045;2003-01-10;52.5
US5949181045;2003-01-13;53.5
US5949181045;2003-01-14;53.68
US5949181045;2003-01-15;53.4
US5949181045;2003-01-16;52.6
US5949181045;2003-01-17;49.33
US5949181045;2003-01-20;48.7
US5949181045;2003-01-21;48.2
US5949181045;2003-01-22;48.39
US5949181045;2003-01-23;48.15
US5949181045;2003-01-24;46.35
US5949181045;2003-01-27;44.95
US5949181045;2003-01-28;45
US5949181045;2003-01-29;45
US5949181045;2003-01-30;46
US5949181045;2003-01-31;44.5
US5949181045;2003-02-03;45.25
US5949181045;2003-02-04;43.55
US5949181045;2003-02-05;44.8
US5949181045;2003-02-06;43.3
US5949181045;2003-02-07;43.3
US5949181045;2003-02-10;44.1
US5949181045;2003-02-11;43.8
US5949181045;2003-02-12;43.7
US5949181045;2003-02-13;42.51
US5949181045;2003-02-14;43.6
US5949181045;2003-02-17;45.35
US5949181045;2003-02-18;23.35
US5949181045;2003-02-19;22.81
US5949181045;2003-02-20;22.35
US5949181045;2003-02-21;22.75
US5949181045;2003-02-24;22.1
US5949181045;2003-02-25;21.8
US5949181045;2003-02-26;22.2
US5949181045;2003-02-27;22.3
US5949181045;2003-02-28;22
US5949181045;2003-03-03;21.95
US5949181045;2003-03-04;21.4
US5949181045;2003-03-05;21.3
US5949181045;2003-03-06;21
US5949181045;2003-03-07;21.5
US5949181045;2003-03-10;20.88
US5949181045;2003-03-11;20.9
US5949181045;2003-03-12;20.52
US5949181045;2003-03-13;21.85
US5949181045;2003-03-14;22.8
US5949181045;2003-03-17;24.02
US5949181045;2003-03-18;24.1
US5949181045;2003-03-19;24.6
US5949181045;2003-03-20;24.75
US5949181045;2003-03-21;25.28
US5949181045;2003-03-24;24.15
US5949181045;2003-03-25;24
US5949181045;2003-03-26;23.85
US5949181045;2003-03-27;23.15
US5949181045;2003-03-28;23.15
US5949181045;2003-03-31;22.5
US5949181045;2003-04-01;22.5
US5949181045;2003-04-02;23.9
US5949181045;2003-04-03;24.2
US5949181045;2003-04-04;23.75
US5949181045;2003-04-07;24.6
US5949181045;2003-04-08;24.05
US5949181045;2003-04-09;23.3
US5949181045;2003-04-10;22.7
US5949181045;2003-04-11;22.5
US5949181045;2003-04-14;22.98
US5949181045;2003-04-15;23
US5949181045;2003-04-16;23.35
US5949181045;2003-04-17;23.4
US5949181045;2003-04-22;23.6
US5949181045;2003-04-23;23.75
US5949181045;2003-04-24;23.05
US5949181045;2003-04-25;23.02
US5949181045;2003-04-28;23.45
US5949181045;2003-04-29;23.48
US5949181045;2003-04-30;22.9
US5949181045;2003-05-02;23.3
US5949181045;2003-05-05;23.15
US5949181045;2003-05-06;23.3
US5949181045;2003-05-07;22.95
US5949181045;2003-05-08;22.55
US5949181045;2003-05-09;22.95
US5949181045;2003-05-12;22.8
US5949181045;2003-05-13;22.88
US5949181045;2003-05-14;22.45
US5949181045;2003-05-15;22.5
US5949181045;2003-05-16;22.2
US5949181045;2003-05-19;21.55
US5949181045;2003-05-20;21.3
US5949181045;2003-05-21;20.8
US5949181045;2003-05-22;20.7
US5949181045;2003-05-23;20.75
US5949181045;2003-05-26;20.61
US5949181045;2003-05-27;20.7
US5949181045;2003-05-28;21.15
US5949181045;2003-05-29;20.83
US5949181045;2003-05-30;21.12
US5949181045;2003-06-02;21.25
US5949181045;2003-06-03;21.14
US5949181045;2003-06-04;21.45
US5949181045;2003-06-05;20.4
US5949181045;2003-06-06;20.85
US5949181045;2003-06-09;20.35
US5949181045;2003-06-10;20.9
US5949181045;2003-06-11;21.1
US5949181045;2003-06-12;21.12
US5949181045;2003-06-13;20.81
US5949181045;2003-06-16;21.2
US5949181045;2003-06-17;22
US5949181045;2003-06-18;22.4
US5949181045;2003-06-19;22.3
US5949181045;2003-06-20;22.6
US5949181045;2003-06-23;22.3
US5949181045;2003-06-24;22.5
US5949181045;2003-06-25;22.4
US5949181045;2003-06-26;22.4
US5949181045;2003-06-27;22.8
US5949181045;2003-06-30;22.4
US5949181045;2003-07-01;22.25
US5949181045;2003-07-02;23.3
US5949181045;2003-07-03;23.2
US5949181045;2003-07-04;23.93
US5949181045;2003-07-07;24.25
US5949181045;2003-07-08;24.3
US5949181045;2003-07-09;24.2
US5949181045;2003-07-10;23.75
US5949181045;2003-07-11;24.2
US5949181045;2003-07-14;24.55
US5949181045;2003-07-15;24.46
US5949181045;2003-07-16;24.45
US5949181045;2003-07-17;23.95
US5949181045;2003-07-18;23.9
US5949181045;2003-07-21;23.1
US5949181045;2003-07-22;23.35
US5949181045;2003-07-23;22.85
US5949181045;2003-07-24;23.45
US5949181045;2003-07-25;23.2
US5949181045;2003-07-28;23.15
US5949181045;2003-07-29;23.2
US5949181045;2003-07-30;23.2
US5949181045;2003-07-31;23.9
US5949181045;2003-08-01;23.4
US5949181045;2003-08-04;22.9
US5949181045;2003-08-05;23
US5949181045;2003-08-06;22.7
US5949181045;2003-08-07;22.5
US5949181045;2003-08-08;22.75
US5949181045;2003-08-11;22.65
US5949181045;2003-08-12;22.7
US5949181045;2003-08-13;22.65
US5949181045;2003-08-14;22.75
US5949181045;2003-08-15;22.75
US5949181045;2003-08-18;23
US5949181045;2003-08-19;23.6
US5949181045;2003-08-20;23.7
US5949181045;2003-08-21;24.15
US5949181045;2003-08-22;24.4
US5949181045;2003-08-25;24.35
US5949181045;2003-08-26;24
US5949181045;2003-08-27;24.2
US5949181045;2003-08-28;24.15
US5949181045;2003-08-29;24
US5949181045;2003-09-01;24.11
US5949181045;2003-09-02;24.65
US5949181045;2003-09-03;25.95
US5949181045;2003-09-04;26
US5949181045;2003-09-05;25.85
US5949181045;2003-09-08;25.9
US5949181045;2003-09-09;25.4
US5949181045;2003-09-10;25
US5949181045;2003-09-11;25
US5949181045;2003-09-12;24.6
US5949181045;2003-09-15;25.15
US5949181045;2003-09-16;25.4
US5949181045;2003-09-17;25.6
US5949181045;2003-09-18;25.75
US5949181045;2003-09-19;26.1
US5949181045;2003-09-22;25.4
US5949181045;2003-09-23;25.5
US5949181045;2003-09-24;25.25
US5949181045;2003-09-25;25
US5949181045;2003-09-26;24.7
US5949181045;2003-09-29;24.8
US5949181045;2003-09-30;24
US5949181045;2003-10-01;24
US5949181045;2003-10-02;24.25
US5949181045;2003-10-03;25.3
US5949181045;2003-10-06;24.7
US5949181045;2003-10-07;24.75
US5949181045;2003-10-08;24.6
US5949181045;2003-10-09;25.05
US5949181045;2003-10-10;24.45
US5949181045;2003-10-13;24.68
US5949181045;2003-10-14;24.5
US5949181045;2003-10-15;25
US5949181045;2003-10-16;25.25
US5949181045;2003-10-17;25
US5949181045;2003-10-20;24.98
US5949181045;2003-10-21;25
US5949181045;2003-10-22;24.8
US5949181045;2003-10-23;24.7
US5949181045;2003-10-24;22.65
US5949181045;2003-10-27;23.05
US5949181045;2003-10-28;23.2
US5949181045;2003-10-29;23.05
US5949181045;2003-10-30;22.65
US5949181045;2003-10-31;22.68
US5949181045;2003-11-03;23.38
US5949181045;2003-11-04;22.85
US5949181045;2003-11-05;22.88
US5949181045;2003-11-06;22.97
US5949181045;2003-11-07;22.82
US5949181045;2003-11-10;22.68
US5949181045;2003-11-11;22.48
US5949181045;2003-11-12;22.1
US5949181045;2003-11-13;21.89
US5949181045;2003-11-14;22
US5949181045;2003-11-17;21.4
US5949181045;2003-11-18;21.53
US5949181045;2003-11-19;21.37
US5949181045;2003-11-20;21.45
US5949181045;2003-11-21;21.19
US5949181045;2003-11-24;21.85
US5949181045;2003-11-25;21.75
US5949181045;2003-11-26;21.3
US5949181045;2003-11-27;21.59
US5949181045;2003-11-28;21.4
US5949181045;2003-12-01;21.8
US5949181045;2003-12-02;21.52
US5949181045;2003-12-03;21.45
US5949181045;2003-12-04;21.3
US5949181045;2003-12-05;21.68
US5949181045;2003-12-08;21.3
US5949181045;2003-12-09;21.7
US5949181045;2003-12-10;21.75
